D=2;
n=[4 1];
N=10;
d=[2 1 1 2 1 1 1 1 1 1];
m = [
  [1.00 0.25 0.62 0.15 0.94 0.19 0.93 0.72 0.92 0.60]
  [0.25 1.00 0.83 0.18 0.88 0.60 0.03 0.59 0.77 0.42]
  [0.62 0.83 1.00 0.68 0.62 0.70 0.48 0.23 0.41 0.98]
  [0.15 0.18 0.68 1.00 0.94 0.16 0.56 1.00 0.29 0.32]
  [0.94 0.88 0.62 0.94 1.00 0.95 0.91 0.46 0.40 0.37]
  [0.19 0.60 0.70 0.16 0.95 1.00 0.09 0.78 0.99 0.26]
  [0.93 0.03 0.48 0.56 0.91 0.09 1.00 0.52 0.27 0.20]
  [0.72 0.59 0.23 1.00 0.46 0.78 0.52 1.00 0.17 0.66]
  [0.92 0.77 0.41 0.29 0.40 0.99 0.27 0.17 1.00 0.64]
  [0.60 0.42 0.98 0.32 0.37 0.26 0.20 0.66 0.64 1.00]
];
