D=6;
n=[4 4 2 1 3 2];
N=30;
d=[6 1 2 4 5 1 2 1 1 3 5 6 2 2 3 2 4 1 2 3 3 5 5 6 5 2 5 2 1 2];
m = [
  [1.00 0.74 0.83 0.67 0.20 0.59 0.85 0.44 0.71 0.27 0.16 0.62 0.49 0.13 0.86 0.57 0.71 0.41 0.55 0.98 0.42 0.34 0.75 0.25 0.76 0.39 0.83 0.42 0.71 0.26]
  [0.74 1.00 0.26 0.43 0.03 0.39 0.30 0.50 0.82 0.94 0.10 0.50 0.37 0.81 0.88 0.87 0.66 0.68 0.98 0.70 0.80 0.97 0.26 0.44 0.99 0.21 0.35 0.36 0.06 0.74]
  [0.83 0.26 1.00 0.88 0.31 0.96 0.42 0.06 0.70 0.47 0.60 0.33 0.56 0.76 0.76 0.13 0.62 0.06 0.06 0.02 0.94 0.43 0.67 0.90 0.94 0.17 0.57 0.49 0.85 0.06]
  [0.67 0.43 0.88 1.00 0.10 0.36 0.97 0.95 0.13 0.80 0.16 0.57 0.13 0.78 0.70 0.49 0.07 0.30 0.46 0.88 0.97 0.95 0.98 0.89 0.30 0.67 0.14 0.71 0.31 0.23]
  [0.20 0.03 0.31 0.10 1.00 0.47 0.61 0.08 0.94 0.33 0.31 0.14 0.79 0.73 0.33 0.11 0.96 0.03 0.34 0.31 0.11 0.16 0.19 0.88 0.45 0.16 0.88 0.79 0.49 0.99]
  [0.59 0.39 0.96 0.36 0.47 1.00 0.34 0.70 0.56 0.49 0.00 0.38 0.41 0.01 0.55 0.26 0.94 0.76 0.22 0.46 0.86 0.82 0.06 0.10 0.28 0.07 0.74 0.98 0.39 0.24]
  [0.85 0.30 0.42 0.97 0.61 0.34 1.00 0.77 0.52 0.92 0.27 0.21 0.78 0.82 0.43 0.64 0.34 0.28 0.26 0.58 0.58 0.51 0.80 0.26 0.47 0.92 0.18 0.77 0.38 0.75]
  [0.44 0.50 0.06 0.95 0.08 0.70 0.77 1.00 0.44 0.84 0.11 0.98 0.83 0.16 0.42 0.39 0.97 0.31 0.46 0.47 0.21 0.41 0.27 0.39 0.30 0.70 0.62 0.16 0.44 0.95]
  [0.71 0.82 0.70 0.13 0.94 0.56 0.52 0.44 1.00 0.72 0.43 0.73 0.98 0.35 0.89 0.90 0.63 0.01 0.53 0.15 0.83 0.29 0.18 0.58 0.75 0.50 0.82 0.44 0.90 0.13]
  [0.27 0.94 0.47 0.80 0.33 0.49 0.92 0.84 0.72 1.00 0.44 0.15 0.01 0.60 0.83 0.87 1.00 0.93 0.90 0.05 0.99 0.28 0.93 0.51 0.59 0.60 0.41 0.33 0.09 0.21]
  [0.16 0.10 0.60 0.16 0.31 0.00 0.27 0.11 0.43 0.44 1.00 0.67 0.46 0.63 0.54 0.95 0.16 0.40 0.55 0.13 0.72 0.84 0.12 0.65 0.52 0.82 0.60 0.20 0.60 0.94]
  [0.62 0.50 0.33 0.57 0.14 0.38 0.21 0.98 0.73 0.15 0.67 1.00 0.63 0.29 0.50 0.07 0.07 0.42 0.72 0.30 0.64 0.29 0.52 0.77 0.75 0.66 0.43 0.85 0.49 0.70]
  [0.49 0.37 0.56 0.13 0.79 0.41 0.78 0.83 0.98 0.01 0.46 0.63 1.00 0.77 0.68 0.71 0.15 0.58 0.74 0.25 0.96 0.09 0.19 0.72 0.89 0.97 0.89 0.03 0.84 0.70]
  [0.13 0.81 0.76 0.78 0.73 0.01 0.82 0.16 0.35 0.60 0.63 0.29 0.77 1.00 0.12 0.61 0.22 0.80 0.83 0.88 0.86 0.11 0.84 0.58 0.22 0.44 0.38 0.02 0.80 0.04]
