D=2;
n=[1 5];
N=10;
d=[1 1 2 2 2 2 2 2 2 1];
m = [
  [1.00 0.07 0.80 0.85 0.67 0.50 0.80 0.93 0.09 0.15]
  [0.07 1.00 0.61 0.04 0.18 0.06 0.95 0.96 0.20 0.28]
  [0.80 0.61 1.00 0.25 0.54 0.16 0.25 0.66 0.62 0.26]
  [0.85 0.04 0.25 1.00 0.45 0.88 0.10 0.96 0.88 0.67]
  [0.67 0.18 0.54 0.45 1.00 0.36 0.70 0.46 0.19 0.94]
  [0.50 0.06 0.16 0.88 0.36 1.00 0.29 0.88 0.62 0.24]
  [0.80 0.95 0.25 0.10 0.70 0.29 1.00 0.73 0.70 0.56]
  [0.93 0.96 0.66 0.96 0.46 0.88 0.73 1.00 0.83 0.26]
  [0.09 0.20 0.62 0.88 0.19 0.62 0.70 0.83 1.00 0.12]
  [0.15 0.28 0.26 0.67 0.94 0.24 0.56 0.26 0.12 1.00]
];
