D=6;
n=[2 1 5 5 4 1];
N=40;
d=[5 5 3 1 1 6 5 3 5 1 5 4 6 5 2 6 4 1 1 3 3 3 5 5 2 3 4 3 4 2 1 5 2 4 4 6 3 1 3 4];
m = [
  [1.00 0.34 0.50 0.51 0.52 0.08 0.09 0.11 0.98 0.66 0.99 0.29 0.21 0.61 0.54 0.29 0.35 0.03 0.53 0.61 0.93 0.96 0.61 0.65 0.12 0.65 0.73 0.39 0.38 0.26 0.12 0.31 0.91 0.87 0.39 0.09 0.70 0.83 0.80 0.61]
  [0.34 1.00 0.54 0.82 0.78 0.77 0.40 0.83 0.72 0.66 0.16 0.89 0.98 0.29 0.74 0.23 0.78 0.78 0.47 0.04 0.76 0.35 0.44 0.05 0.94 0.80 0.53 0.90 0.76 0.63 0.18 0.74 0.52 0.04 0.22 0.21 0.23 0.63 0.95 0.18]
  [0.50 0.54 1.00 0.72 0.71 0.86 0.89 0.85 0.16 0.43 0.26 0.75 0.61 0.77 0.08 0.76 0.21 0.70 0.41 0.40 0.46 0.43 0.33 0.16 0.65 0.65 0.25 0.27 0.29 0.83 0.36 0.24 0.17 0.97 0.81 0.31 0.79 0.39 0.87 0.16]
  [0.51 0.82 0.72 1.00 0.49 0.61 0.59 0.83 0.64 0.47 0.76 0.85 0.99 0.93 0.27 0.22 0.91 0.71 1.00 0.79 0.80 0.50 0.35 0.86 0.34 0.01 0.05 0.73 0.21 0.08 0.98 0.63 0.35 0.09 0.53 0.90 0.29 0.44 0.19 0.65]
  [0.52 0.78 0.71 0.49 1.00 0.69 0.16 0.20 0.47 0.10 0.15 0.95 0.05 0.38 0.34 0.75 0.74 0.31 0.09 0.55 0.09 0.96 0.96 0.55 0.03 0.47 0.93 0.26 0.81 0.07 0.90 0.30 0.31 0.87 0.04 0.05 0.36 0.89 0.53 0.69]
  [0.08 0.77 0.86 0.61 0.69 1.00 0.32 0.47 0.92 0.93 0.04 1.00 0.54 0.78 0.92 0.34 0.73 0.54 0.34 0.45 0.52 0.74 0.32 0.05 0.97 0.15 1.00 0.10 0.51 0.21 0.45 0.08 0.08 0.38 0.41 0.57 0.40 0.28 0.71 0.32]
  [0.09 0.40 0.89 0.59 0.16 0.32 1.00 0.96 0.90 0.44 0.24 0.48 0.87 0.81 0.61 0.44 0.88 0.77 0.09 0.42 0.55 0.27 0.92 0.22 0.26 0.43 0.06 0.92 0.33 0.00 0.58 0.84 0.84 0.50 0.97 0.67 0.54 0.02 0.72 0.36]
  [0.11 0.83 0.85 0.83 0.20 0.47 0.96 1.00 0.02 0.99 0.88 0.29 0.07 0.03 0.56 0.30 0.78 0.51 0.80 0.76 0.29 0.04 0.31 0.36 0.17 0.74 0.81 0.58 0.64 0.68 0.38 0.31 0.13 0.27 0.47 0.98 0.56 0.32 0.22 0.82]
  [0.98 0.72 0.16 0.64 0.47 0.92 0.90 0.02 1.00 0.75 0.50 0.45 0.57 0.82 0.45 0.05 0.75 0.11 0.47 0.87 0.18 0.55 0.70 0.60 0.40 0.03 0.34 0.56 0.90 0.22 0.83 0.20 0.95 0.50 0.55 0.33 0.97 0.07 0.73 1.00]
