D=4;
n=[3 1 5 4];
N=40;
d=[1 3 3 3 3 3 4 1 4 3 1 1 3 2 4 4 1 4 1 3 3 3 4 2 4 3 1 4 3 4 2 3 4 4 4 4 2 1 2 1];
m = [
  [1.00 0.53 0.94 0.65 0.70 0.53 0.09 0.73 0.07 0.69 0.03 0.32 0.80 0.43 0.70 0.08 0.11 0.09 0.85 0.86 0.32 0.77 0.52 0.39 0.98 0.33 0.34 0.80 0.70 0.49 0.44 0.67 0.25 0.36 0.47 0.18 0.25 0.76 0.04 0.53]
  [0.53 1.00 0.98 0.94 0.03 0.77 0.39 0.13 0.68 0.07 0.79 0.23 0.62 0.28 0.27 0.88 0.29 0.07 0.46 0.17 0.10 0.53 0.17 0.99 0.53 0.11 0.92 0.51 0.92 0.73 0.15 0.81 0.84 0.36 0.97 0.88 0.81 0.25 0.61 0.31]
  [0.94 0.98 1.00 0.15 0.93 0.09 0.09 0.63 0.15 0.28 0.09 0.85 0.30 0.82 0.84 0.89 0.87 0.96 0.58 0.02 0.07 0.53 0.52 0.88 1.00 0.86 0.66 0.01 0.31 0.19 0.33 0.77 0.05 0.72 0.34 0.35 0.10 0.51 0.65 0.54]
  [0.65 0.94 0.15 1.00 0.56 0.39 0.71 0.11 0.41 0.14 0.84 0.99 0.49 0.23 0.37 0.18 0.48 0.16 0.16 0.79 0.07 0.85 1.00 0.57 0.17 0.72 0.27 0.58 0.90 0.02 0.77 0.56 0.03 0.22 0.13 0.57 0.19 0.12 0.92 0.51]
  [0.70 0.03 0.93 0.56 1.00 0.59 0.69 0.72 0.17 0.83 0.69 0.04 0.40 0.93 0.10 0.79 0.36 0.10 0.79 0.41 0.38 0.56 0.04 0.72 0.24 0.22 0.00 0.35 0.06 0.20 0.06 0.42 0.97 0.85 0.95 0.52 0.90 0.81 0.26 0.10]
  [0.53 0.77 0.09 0.39 0.59 1.00 0.39 0.72 0.58 0.72 0.60 0.91 0.79 0.86 0.85 0.76 0.53 0.34 0.68 0.74 0.75 1.00 0.82 0.40 0.63 0.10 0.18 0.13 0.85 0.53 0.41 0.51 0.94 0.92 0.21 0.08 0.82 0.01 0.20 0.63]
  [0.09 0.39 0.09 0.71 0.69 0.39 1.00 0.72 0.64 0.33 0.34 0.94 0.05 0.59 0.81 0.70 0.39 0.18 0.05 0.11 0.23 0.31 0.66 0.00 0.17 0.34 0.26 0.88 0.79 0.51 0.46 0.11 0.76 0.75 0.06 0.95 0.38 0.93 0.27 0.46]
  [0.73 0.13 0.63 0.11 0.72 0.72 0.72 1.00 0.49 0.53 0.69 0.40 0.94 0.09 0.31 0.08 0.17 0.84 0.28 0.84 0.85 0.23 0.10 0.64 0.49 0.20 0.85 0.36 0.09 0.73 0.31 0.99 0.06 0.20 0.71 0.14 0.09 0.10 0.71 0.23]
  [0.07 0.68 0.15 0.41 0.17 0.58 0.64 0.49 1.00 0.66 0.74 0.72 0.55 0.63 0.93 0.80 0.97 0.79 0.25 0.23 0.15 0.88 0.62 0.77 0.55 0.55 0.05 0.94 0.24 0.24 0.91 0.49 0.08 0.30 0.73 0.94 0.49 0.98 0.81 0.02]
  [0.69 0.07 0.28 0.14 0.83 0.72 0.33 0.53 0.66 1.00 0.19 0.49 0.48 0.65 0.53 0.91 0.85 0.08 0.54 0.48 0.46 0.67 0.38 0.12 0.06 0.32 0.98 0.98 0.91 0.03 0.91 0.96 0.12 0.44 0.61 0.97 0.59 0.65 0.82 0.75]
  [0.03 0.79 0.09 0.84 0.69 0.60 0.34 0.69 0.74 0.19 1.00 0.92 0.55 0.05 0.49 0.91 0.52 0.48 0.45 0.13 0.93 0.55 0.40 0.87 0.67 0.58 0.31 0.74 0.31 0.14 0.66 0.14 0.30 0.74 0.85 0.39 0.68 0.93 0.54 0.41]
  [0.32 0.23 0.85 0.99 0.04 0.91 0.94 0.40 0.72 0.49 0.92 1.00 0.50 0.58 0.83 0.16 0.05 0.47 0.99 0.82 0.31 0.30 0.67 0.64 0.19 0.77 0.61 0.52 0.71 0.11 0.74 1.00 0.46 0.90 0.20 0.78 0.44 0.21 0.09 0.45]
  [0.80 0.62 0.30 0.49 0.40 0.79 0.05 0.94 0.55 0.48 0.55 0.50 1.00 0.22 0.56 0.23 0.23 0.32 0.69 0.26 0.97 0.88 0.58 0.38 0.97 0.70 0.18 0.98 0.79 0.90 0.71 0.34 0.92 0.88 0.81 0.42 0.59 0.25 0.07 0.97]
  [0.43 0.28 0.82 0.23 0.93 0.86 0.59 0.09 0.63 0.65 0.05 0.58 0.22 1.00 0.64 0.87 0.77 0.79 0.15 0.96 0.62 0.01 0.60 0.22 0.07 0.87 0.89 0.55 0.42 0.62 0.80 0.31 0.90 0.75 0.59 0.78 0.21 0.17 0.49 0.28]
  [0.70 0.27 0.84 0.37 0.10 0.85 0.81 0.31 0.93 0.53 0.49 0.83 0.56 0.64 1.00 0.33 0.37 0.41 0.98 0.35 0.45 0.22 0.64 0.08 0.93 0.04 0.49 0.50 0.88 0.34 1.00 0.37 0.82 0.73 0.60 0.02 0.85 0.98 0.69 0.67]
  [0.08 0.88 0.89 0.18 0.79 0.76 0.70 0.08 0.80 0.91 0.91 0.16 0.23 0.87 0.33 1.00 0.87 0.51 0.94 0.57 0.24 0.29 0.60 0.37 0.76 0.60 0.01 0.37 0.60 0.32 0.18 0.83 0.16 0.44 0.00 0.98 0.51 0.12 0.13 0.32]
  [0.11 0.29 0.87 0.48 0.36 0.53 0.39 0.17 0.97 0.85 0.52 0.05 0.23 0.77 0.37 0.87 1.00 0.40 0.21 0.76 0.13 0.37 0.13 0.12 0.84 0.95 0.56 0.10 0.23 0.16 0.14 0.36 0.97 0.04 0.63 0.98 0.55 0.33 0.84 0.10]
  [0.09 0.07 0.96 0.16 0.10 0.34 0.18 0.84 0.79 0.08 0.48 0.47 0.32 0.79 0.41 0.51 0.40 1.00 0.97 0.66 0.23 0.58 0.29 0.04 0.71 0.83 0.48 0.78 0.03 0.65 0.16 0.62 0.10 0.19 0.80 0.08 0.37 0.75 0.33 0.31]
  [0.85 0.46 0.58 0.16 0.79 0.68 0.05 0.28 0.25 0.54 0.45 0.99 0.69 0.15 0.98 0.94 0.21 0.97 1.00 0.10 0.74 0.89 0.45 0.50 0.05 0.63 0.31 0.99 0.65 0.65 0.04 0.62 0.13 0.10 0.46 0.44 0.93 0.48 0.26 0.20]
  [0.86 0.17 0.02 0.79 0.41 0.74 0.11 0.84 0.23 0.48 0.13 0.82 0.26 0.96 0.35 0.57 0.76 0.66 0.10 1.00 0.59 0.53 0.20 0.66 0.18 0.35 0.03 0.24 0.40 0.83 0.14 0.19 0.44 0.10 0.63 0.39 0.01 0.90 0.82 0.97]
  [0.32 0.10 0.07 0.07 0.38 0.75 0.23 0.85 0.15 0.46 0.93 0.31 0.97 0.62 0.45 0.24 0.13 0.23 0.74 0.59 1.00 0.15 0.80 0.86 0.88 0.66 0.22 0.44 0.88 0.91 0.20 0.04 0.67 0.74 0.15 0.85 0.41 0.99 0.49 0.93]
  [0.77 0.53 0.53 0.85 0.56 1.00 0.31 0.23 0.88 0.67 0.55 0.30 0.88 0.01 0.22 0.29 0.37 0.58 0.89 0.53 0.15 1.00 0.52 0.01 0.52 0.55 0.49 0.33 0.69 0.11 0.72 0.38 0.62 0.83 0.66 0.42 0.88 0.71 0.58 0.57]
  [0.52 0.17 0.52 1.00 0.04 0.82 0.66 0.10 0.62 0.38 0.40 0.67 0.58 0.60 0.64 0.60 0.13 0.29 0.45 0.20 0.80 0.52 1.00 0.98 0.72 0.05 0.13 0.45 0.95 0.23 0.34 0.29 0.77 0.20 0.09 0.13 0.25 0.05 0.88 0.45]
  [0.39 0.99 0.88 0.57 0.72 0.40 0.00 0.64 0.77 0.12 0.87 0.64 0.38 0.22 0.08 0.37 0.12 0.04 0.50 0.66 0.86 0.01 0.98 1.00 0.56 0.41 0.66 0.61 0.94 0.96 0.48 0.57 0.19 0.49 0.52 0.36 0.38 0.63 0.36 0.12]
