D=2;
n=[3 4];
N=10;
d=[1 1 2 1 2 1 2 1 2 2];
m = [
  [1.00 0.13 0.66 0.72 0.01 0.18 0.82 0.59 0.73 0.79]
  [0.13 1.00 0.66 0.40 0.57 0.15 0.23 0.68 0.58 0.41]
  [0.66 0.66 1.00 0.15 0.62 0.66 0.46 0.10 0.88 0.30]
  [0.72 0.40 0.15 1.00 0.07 0.06 0.68 0.59 0.58 0.53]
  [0.01 0.57 0.62 0.07 1.00 0.36 0.41 0.90 0.46 0.10]
  [0.18 0.15 0.66 0.06 0.36 1.00 0.38 0.81 0.93 0.68]
  [0.82 0.23 0.46 0.68 0.41 0.38 1.00 0.29 0.61 0.83]
  [0.59 0.68 0.10 0.59 0.90 0.81 0.29 1.00 0.93 0.66]
  [0.73 0.58 0.88 0.58 0.46 0.93 0.61 0.93 1.00 0.24]
  [0.79 0.41 0.30 0.53 0.10 0.68 0.83 0.66 0.24 1.00]
];
