D=2;
n=[3 3];
N=10;
d=[2 1 1 1 1 2 2 1 2 2];
m = [
  [1.00 0.08 0.02 0.18 0.44 0.29 0.83 0.05 0.16 0.40]
  [0.08 1.00 0.28 0.67 0.31 0.71 0.99 0.76 0.88 0.46]
  [0.02 0.28 1.00 0.96 0.56 0.71 0.84 0.24 0.28 0.31]
  [0.18 0.67 0.96 1.00 0.63 0.21 0.08 0.17 0.44 0.86]
  [0.44 0.31 0.56 0.63 1.00 0.83 0.67 0.23 0.82 0.07]
  [0.29 0.71 0.71 0.21 0.83 1.00 0.50 0.24 0.50 0.19]
  [0.83 0.99 0.84 0.08 0.67 0.50 1.00 0.72 0.38 0.14]
  [0.05 0.76 0.24 0.17 0.23 0.24 0.72 1.00 0.79 0.10]
  [0.16 0.88 0.28 0.44 0.82 0.50 0.38 0.79 1.00 0.44]
  [0.40 0.46 0.31 0.86 0.07 0.19 0.14 0.10 0.44 1.00]
];
