D=2;
n=[1 2];
N=10;
d=[1 2 2 2 2 2 2 2 1 1];
m = [
  [1.00 0.18 0.35 0.14 0.36 0.78 0.42 0.95 0.54 0.71]
  [0.18 1.00 0.96 0.35 0.38 0.72 0.99 0.85 0.81 0.37]
  [0.35 0.96 1.00 0.91 0.51 0.58 0.03 0.95 0.29 0.45]
  [0.14 0.35 0.91 1.00 0.13 0.57 0.53 0.26 0.84 0.42]
  [0.36 0.38 0.51 0.13 1.00 0.82 0.49 0.54 0.41 0.92]
  [0.78 0.72 0.58 0.57 0.82 1.00 0.06 0.97 0.16 0.52]
  [0.42 0.99 0.03 0.53 0.49 0.06 1.00 0.54 0.89 0.51]
  [0.95 0.85 0.95 0.26 0.54 0.97 0.54 1.00 0.37 0.55]
  [0.54 0.81 0.29 0.84 0.41 0.16 0.89 0.37 1.00 0.38]
  [0.71 0.37 0.45 0.42 0.92 0.52 0.51 0.55 0.38 1.00]
];
