D=7;
n=[1 1 2 3 1 2 4];
N=30;
d=[1 4 4 3 6 2 7 5 6 4 2 3 2 7 5 2 6 4 7 7 2 4 7 4 7 7 6 3 7 5];
m = [
  [1.00 0.31 0.29 0.64 0.04 0.07 0.55 0.46 0.99 0.95 0.25 0.98 0.10 0.91 0.28 0.43 0.55 0.65 0.43 0.53 0.19 0.66 0.22 0.86 0.31 0.10 0.27 0.86 0.49 0.13]
  [0.31 1.00 0.40 0.87 0.30 0.48 0.30 0.28 1.00 0.07 0.31 0.42 0.53 0.00 0.32 0.34 0.83 0.96 0.67 0.56 0.34 0.60 0.41 0.93 0.89 0.79 0.23 0.37 0.04 0.37]
  [0.29 0.40 1.00 0.57 0.57 0.34 0.87 0.13 0.96 0.71 0.17 0.54 0.97 0.17 0.58 0.99 0.49 0.71 0.95 0.48 0.79 0.13 0.37 0.44 0.15 0.67 0.45 0.62 0.68 0.47]
  [0.64 0.87 0.57 1.00 0.21 0.06 0.91 0.39 0.94 0.37 0.24 0.84 0.92 0.67 0.80 0.96 0.22 0.83 0.19 0.07 0.57 0.02 0.87 0.16 0.43 0.17 0.26 0.36 0.23 0.79]
  [0.04 0.30 0.57 0.21 1.00 0.40 0.49 0.57 0.07 0.77 0.47 0.50 0.86 0.18 0.95 0.57 0.49 0.69 0.87 0.27 0.82 0.06 0.49 0.46 0.64 0.06 0.07 0.47 0.49 0.01]
  [0.07 0.48 0.34 0.06 0.40 1.00 0.97 0.16 0.05 0.23 0.75 0.16 0.62 0.70 0.23 0.75 0.77 0.58 0.02 0.18 0.85 0.40 0.40 0.65 0.18 0.74 0.02 0.83 0.15 0.42]
  [0.55 0.30 0.87 0.91 0.49 0.97 1.00 1.00 0.17 0.06 0.13 0.88 0.05 0.24 0.34 0.75 0.30 0.51 0.85 0.40 0.98 0.86 0.22 0.36 0.42 0.90 0.96 0.57 0.45 0.33]
  [0.46 0.28 0.13 0.39 0.57 0.16 1.00 1.00 0.89 0.34 0.33 0.21 0.73 0.30 0.08 0.94 0.31 0.48 0.62 0.77 0.80 0.29 0.77 0.87 0.73 0.55 0.24 0.13 0.91 0.25]
  [0.99 1.00 0.96 0.94 0.07 0.05 0.17 0.89 1.00 0.50 0.64 0.81 0.40 0.06 0.46 0.78 0.07 0.29 0.48 0.63 0.06 0.92 0.39 0.51 0.13 0.85 0.34 0.19 0.64 0.55]
  [0.95 0.07 0.71 0.37 0.77 0.23 0.06 0.34 0.50 1.00 0.18 0.25 0.19 0.52 0.21 0.94 0.72 0.24 0.72 0.82 0.25 0.19 0.39 0.72 0.21 0.74 0.00 0.89 1.00 0.69]
  [0.25 0.31 0.17 0.24 0.47 0.75 0.13 0.33 0.64 0.18 1.00 0.29 0.57 0.38 0.44 0.59 0.61 0.66 0.63 0.50 0.82 0.78 0.54 0.20 0.16 0.86 0.09 0.91 0.17 0.63]
  [0.98 0.42 0.54 0.84 0.50 0.16 0.88 0.21 0.81 0.25 0.29 1.00 0.53 0.56 0.35 0.54 0.08 0.21 0.50 0.09 0.87 0.60 0.60 0.20 0.09 0.15 0.28 0.67 0.68 0.92]
  [0.10 0.53 0.97 0.92 0.86 0.62 0.05 0.73 0.40 0.19 0.57 0.53 1.00 0.39 0.07 0.32 0.25 0.02 0.35 0.76 0.99 0.16 0.98 0.50 0.54 0.09 0.89 0.77 0.60 0.19]
  [0.91 0.00 0.17 0.67 0.18 0.70 0.24 0.30 0.06 0.52 0.38 0.56 0.39 1.00 0.44 0.58 0.39 0.27 0.18 0.45 0.31 0.26 0.25 0.64 0.98 0.13 0.12 0.56 0.45 0.73]
  [0.28 0.32 0.58 0.80 0.95 0.23 0.34 0.08 0.46 0.21 0.44 0.35 0.07 0.44 1.00 0.13 0.49 0.69 0.96 0.13 0.83 0.47 0.35 0.58 0.16 0.71 0.88 0.46 0.32 0.56]
  [0.43 0.34 0.99 0.96 0.57 0.75 0.75 0.94 0.78 0.94 0.59 0.54 0.32 0.58 0.13 1.00 0.40 0.52 0.59 0.15 0.51 0.94 0.32 0.68 0.02 0.21 1.00 0.96 0.03 0.48]
  [0.55 0.83 0.49 0.22 0.49 0.77 0.30 0.31 0.07 0.72 0.61 0.08 0.25 0.39 0.49 0.40 1.00 0.89 0.10 0.74 0.17 0.75 0.55 0.91 0.32 0.85 0.57 0.34 0.87 0.64]
  [0.65 0.96 0.71 0.83 0.69 0.58 0.51 0.48 0.29 0.24 0.66 0.21 0.02 0.27 0.69 0.52 0.89 1.00 0.37 0.97 0.98 0.35 0.02 0.52 0.21 0.77 0.38 0.71 0.41 0.76]
  [0.43 0.67 0.95 0.19 0.87 0.02 0.85 0.62 0.48 0.72 0.63 0.50 0.35 0.18 0.96 0.59 0.10 0.37 1.00 0.36 0.59 0.60 0.86 0.31 0.38 0.10 0.29 0.52 0.47 0.92]
  [0.53 0.56 0.48 0.07 0.27 0.18 0.40 0.77 0.63 0.82 0.50 0.09 0.76 0.45 0.13 0.15 0.74 0.97 0.36 1.00 0.18 0.88 0.47 0.97 0.72 0.39 0.86 0.83 0.47 0.65]
  [0.19 0.34 0.79 0.57 0.82 0.85 0.98 0.80 0.06 0.25 0.82 0.87 0.99 0.31 0.83 0.51 0.17 0.98 0.59 0.18 1.00 0.42 0.86 0.69 0.19 0.52 0.62 0.76 0.16 0.81]
  [0.66 0.60 0.13 0.02 0.06 0.40 0.86 0.29 0.92 0.19 0.78 0.60 0.16 0.26 0.47 0.94 0.75 0.35 0.60 0.88 0.42 1.00 0.26 0.66 0.01 0.46 0.29 0.11 0.15 0.25]
  [0.22 0.41 0.37 0.87 0.49 0.40 0.22 0.77 0.39 0.39 0.54 0.60 0.98 0.25 0.35 0.32 0.55 0.02 0.86 0.47 0.86 0.26 1.00 0.41 0.92 0.32 0.89 0.21 0.30 0.95]
  [0.86 0.93 0.44 0.16 0.46 0.65 0.36 0.87 0.51 0.72 0.20 0.20 0.50 0.64 0.58 0.68 0.91 0.52 0.31 0.97 0.69 0.66 0.41 1.00 0.21 0.46 0.44 0.23 0.47 0.30]
  [0.31 0.89 0.15 0.43 0.64 0.18 0.42 0.73 0.13 0.21 0.16 0.09 0.54 0.98 0.16 0.02 0.32 0.21 0.38 0.72 0.19 0.01 0.92 0.21 1.00 0.12 0.30 0.76 0.01 0.53]
  [0.10 0.79 0.67 0.17 0.06 0.74 0.90 0.55 0.85 0.74 0.86 0.15 0.09 0.13 0.71 0.21 0.85 0.77 0.10 0.39 0.52 0.46 0.32 0.46 0.12 1.00 0.78 0.68 0.24 0.58]
  [0.27 0.23 0.45 0.26 0.07 0.02 0.96 0.24 0.34 0.00 0.09 0.28 0.89 0.12 0.88 1.00 0.57 0.38 0.29 0.86 0.62 0.29 0.89 0.44 0.30 0.78 1.00 0.31 0.67 0.09]
  [0.86 0.37 0.62 0.36 0.47 0.83 0.57 0.13 0.19 0.89 0.91 0.67 0.77 0.56 0.46 0.96 0.34 0.71 0.52 0.83 0.76 0.11 0.21 0.23 0.76 0.68 0.31 1.00 0.25 0.30]
  [0.49 0.04 0.68 0.23 0.49 0.15 0.45 0.91 0.64 1.00 0.17 0.68 0.60 0.45 0.32 0.03 0.87 0.41 0.47 0.47 0.16 0.15 0.30 0.47 0.01 0.24 0.67 0.25 1.00 0.64]
  [0.13 0.37 0.47 0.79 0.01 0.42 0.33 0.25 0.55 0.69 0.63 0.92 0.19 0.73 0.56 0.48 0.64 0.76 0.92 0.65 0.81 0.25 0.95 0.30 0.53 0.58 0.09 0.30 0.64 1.00]
];
