D=6;
n=[1 2 3 4 3 1];
N=25;
d=[6 1 1 4 4 3 4 4 2 6 1 2 3 3 5 6 3 3 2 5 4 5 5 2 2];
m = [
  [1.00 0.21 0.83 0.46 0.63 0.97 0.82 0.02 0.28 0.93 0.74 0.31 0.97 0.50 0.05 0.75 0.77 0.79 0.39 0.34 0.86 0.94 0.61 0.07 0.51]
  [0.21 1.00 0.28 0.75 0.80 0.45 0.22 0.36 0.96 0.81 0.31 0.92 0.42 0.92 0.95 0.67 0.97 0.17 0.85 0.93 0.87 0.34 0.93 0.81 0.87]
  [0.83 0.28 1.00 0.63 0.19 0.59 0.11 0.83 0.99 0.46 0.89 0.89 0.89 0.24 0.12 0.63 0.56 0.96 0.85 0.03 0.11 0.16 0.15 0.43 0.81]
  [0.46 0.75 0.63 1.00 0.50 0.31 0.93 0.54 0.08 0.69 0.92 0.68 0.96 0.24 0.76 0.61 0.98 0.14 0.37 0.57 0.82 0.23 0.94 0.06 0.25]
  [0.63 0.80 0.19 0.50 1.00 1.00 0.51 0.72 0.39 0.22 0.69 0.46 0.46 0.65 0.70 0.44 0.65 0.17 0.91 0.50 0.26 0.44 0.21 0.41 0.82]
  [0.97 0.45 0.59 0.31 1.00 1.00 0.69 0.51 0.86 0.65 0.62 0.88 0.31 0.83 0.74 0.02 0.67 0.41 0.07 0.97 0.94 0.40 0.26 0.40 0.63]
  [0.82 0.22 0.11 0.93 0.51 0.69 1.00 0.06 0.04 0.39 0.30 0.42 0.66 0.75 0.36 0.34 1.00 0.97 0.81 0.52 0.78 0.72 0.47 0.86 0.11]
  [0.02 0.36 0.83 0.54 0.72 0.51 0.06 1.00 0.98 0.95 0.36 0.67 0.08 0.03 0.94 0.99 0.06 0.39 0.02 0.05 0.64 0.77 0.12 0.54 0.76]
  [0.28 0.96 0.99 0.08 0.39 0.86 0.04 0.98 1.00 0.54 0.70 0.52 0.92 0.44 0.83 0.37 0.72 0.77 0.68 0.51 0.47 0.65 0.72 0.91 0.55]
  [0.93 0.81 0.46 0.69 0.22 0.65 0.39 0.95 0.54 1.00 0.21 0.09 0.60 0.49 0.01 0.12 0.51 0.71 0.18 0.85 0.72 0.30 0.02 0.13 0.26]
  [0.74 0.31 0.89 0.92 0.69 0.62 0.30 0.36 0.70 0.21 1.00 0.62 0.62 0.02 0.37 0.54 0.99 0.42 0.47 0.05 0.43 0.99 0.05 0.57 0.79]
  [0.31 0.92 0.89 0.68 0.46 0.88 0.42 0.67 0.52 0.09 0.62 1.00 0.78 0.13 0.48 0.24 0.76 0.28 0.65 0.83 0.93 0.67 0.19 0.29 0.62]
  [0.97 0.42 0.89 0.96 0.46 0.31 0.66 0.08 0.92 0.60 0.62 0.78 1.00 0.49 0.37 0.81 0.26 0.13 0.37 0.58 0.19 0.91 0.95 0.47 0.93]
  [0.50 0.92 0.24 0.24 0.65 0.83 0.75 0.03 0.44 0.49 0.02 0.13 0.49 1.00 0.38 0.96 0.62 0.44 0.36 0.85 0.14 0.78 0.08 0.22 0.06]
  [0.05 0.95 0.12 0.76 0.70 0.74 0.36 0.94 0.83 0.01 0.37 0.48 0.37 0.38 1.00 0.04 0.52 0.80 0.12 0.30 0.06 0.91 0.52 0.23 0.26]
  [0.75 0.67 0.63 0.61 0.44 0.02 0.34 0.99 0.37 0.12 0.54 0.24 0.81 0.96 0.04 1.00 0.55 0.19 0.60 0.11 0.22 0.79 0.60 0.20 0.44]
  [0.77 0.97 0.56 0.98 0.65 0.67 1.00 0.06 0.72 0.51 0.99 0.76 0.26 0.62 0.52 0.55 1.00 0.59 0.38 0.96 0.73 0.97 0.76 0.15 0.59]
  [0.79 0.17 0.96 0.14 0.17 0.41 0.97 0.39 0.77 0.71 0.42 0.28 0.13 0.44 0.80 0.19 0.59 1.00 0.24 0.32 0.72 0.07 0.27 0.01 0.86]
  [0.39 0.85 0.85 0.37 0.91 0.07 0.81 0.02 0.68 0.18 0.47 0.65 0.37 0.36 0.12 0.60 0.38 0.24 1.00 0.48 0.35 0.21 0.73 0.85 0.54]
  [0.34 0.93 0.03 0.57 0.50 0.97 0.52 0.05 0.51 0.85 0.05 0.83 0.58 0.85 0.30 0.11 0.96 0.32 0.48 1.00 0.16 0.92 0.70 0.89 0.87]
  [0.86 0.87 0.11 0.82 0.26 0.94 0.78 0.64 0.47 0.72 0.43 0.93 0.19 0.14 0.06 0.22 0.73 0.72 0.35 0.16 1.00 0.49 0.53 0.20 0.83]
  [0.94 0.34 0.16 0.23 0.44 0.40 0.72 0.77 0.65 0.30 0.99 0.67 0.91 0.78 0.91 0.79 0.97 0.07 0.21 0.92 0.49 1.00 0.48 0.88 0.35]
  [0.61 0.93 0.15 0.94 0.21 0.26 0.47 0.12 0.72 0.02 0.05 0.19 0.95 0.08 0.52 0.60 0.76 0.27 0.73 0.70 0.53 0.48 1.00 0.03 0.07]
  [0.07 0.81 0.43 0.06 0.41 0.40 0.86 0.54 0.91 0.13 0.57 0.29 0.47 0.22 0.23 0.20 0.15 0.01 0.85 0.89 0.20 0.88 0.03 1.00 0.04]
  [0.51 0.87 0.81 0.25 0.82 0.63 0.11 0.76 0.55 0.26 0.79 0.62 0.93 0.06 0.26 0.44 0.59 0.86 0.54 0.87 0.83 0.35 0.07 0.04 1.00]
];
