D=2;
n=[2 4];
N=10;
d=[2 2 1 2 1 1 2 2 1 2];
m = [
  [1.00 0.81 0.62 0.45 0.67 0.41 0.80 0.37 0.68 0.46]
  [0.81 1.00 0.06 0.88 0.66 0.43 0.12 0.31 0.42 0.71]
  [0.62 0.06 1.00 0.47 0.41 0.13 0.81 0.56 0.37 0.21]
  [0.45 0.88 0.47 1.00 0.24 0.27 0.53 0.17 0.13 0.62]
  [0.67 0.66 0.41 0.24 1.00 0.14 0.13 0.45 0.57 0.61]
  [0.41 0.43 0.13 0.27 0.14 1.00 0.14 1.00 0.08 0.65]
  [0.80 0.12 0.81 0.53 0.13 0.14 1.00 0.02 0.63 0.24]
  [0.37 0.31 0.56 0.17 0.45 1.00 0.02 1.00 0.29 0.93]
  [0.68 0.42 0.37 0.13 0.57 0.08 0.63 0.29 1.00 0.79]
  [0.46 0.71 0.21 0.62 0.61 0.65 0.24 0.93 0.79 1.00]
];
