D=2;
n=[2 2];
N=10;
d=[1 1 1 2 2 2 2 1 2 2];
m = [
  [1.00 0.01 0.54 0.13 0.28 0.93 0.64 0.20 0.37 0.35]
  [0.01 1.00 0.63 0.23 0.05 0.27 0.10 0.36 0.09 0.94]
  [0.54 0.63 1.00 0.73 0.42 0.44 0.79 0.82 0.63 0.07]
  [0.13 0.23 0.73 1.00 0.33 0.49 0.90 0.50 0.11 0.27]
  [0.28 0.05 0.42 0.33 1.00 0.35 0.78 0.10 0.65 0.51]
  [0.93 0.27 0.44 0.49 0.35 1.00 0.11 0.81 0.08 0.90]
  [0.64 0.10 0.79 0.90 0.78 0.11 1.00 0.01 0.74 0.37]
  [0.20 0.36 0.82 0.50 0.10 0.81 0.01 1.00 0.92 0.26]
  [0.37 0.09 0.63 0.11 0.65 0.08 0.74 0.92 1.00 0.70]
  [0.35 0.94 0.07 0.27 0.51 0.90 0.37 0.26 0.70 1.00]
];
