D=2;
n=[2 7];
N=25;
d=[1 1 1 2 1 2 2 1 1 1 1 1 2 1 2 2 1 1 2 2 1 2 2 1 2];
m = [
  [1.00 0.02 0.03 0.15 0.89 0.69 0.77 0.62 0.05 0.94 0.48 0.33 0.51 0.57 0.93 0.77 0.77 0.93 0.62 0.41 0.53 0.71 0.83 0.79 0.31]
  [0.02 1.00 0.15 0.31 0.18 0.80 0.17 0.02 0.95 0.15 0.85 0.55 0.25 0.70 0.59 0.31 0.09 0.20 0.80 0.21 0.94 0.16 0.15 0.01 0.04]
  [0.03 0.15 1.00 0.19 0.55 0.43 0.44 0.34 0.08 0.91 0.47 1.00 0.01 0.15 0.25 0.41 0.10 0.65 0.97 0.04 0.49 0.67 0.90 0.51 0.96]
  [0.15 0.31 0.19 1.00 0.62 0.22 0.06 0.73 0.49 0.57 0.93 0.26 0.54 0.13 0.72 0.65 0.53 0.29 0.87 0.58 0.11 0.19 0.10 0.69 0.11]
  [0.89 0.18 0.55 0.62 1.00 0.88 0.07 0.46 0.70 0.30 0.62 0.02 0.09 0.02 0.45 0.73 0.33 0.17 0.12 0.43 0.63 0.60 0.13 0.88 0.16]
  [0.69 0.80 0.43 0.22 0.88 1.00 0.19 0.17 0.37 0.46 0.93 0.79 0.74 0.61 0.97 0.37 0.83 0.39 0.17 0.03 0.94 0.92 0.40 0.44 0.27]
  [0.77 0.17 0.44 0.06 0.07 0.19 1.00 0.92 0.62 0.20 0.46 0.63 0.97 0.48 0.80 0.98 0.23 0.39 0.36 0.01 0.74 0.56 0.52 0.88 0.62]
  [0.62 0.02 0.34 0.73 0.46 0.17 0.92 1.00 0.81 0.18 0.87 0.92 1.00 0.10 0.51 0.05 1.00 0.33 0.96 0.18 0.56 0.57 0.90 0.57 0.14]
  [0.05 0.95 0.08 0.49 0.70 0.37 0.62 0.81 1.00 0.17 0.47 0.03 0.78 0.89 0.56 0.32 0.04 0.16 0.30 0.05 0.38 0.71 0.17 0.79 0.15]
  [0.94 0.15 0.91 0.57 0.30 0.46 0.20 0.18 0.17 1.00 1.00 0.05 0.28 0.38 0.19 0.12 0.45 0.78 0.13 0.64 0.10 0.68 0.96 0.07 0.57]
  [0.48 0.85 0.47 0.93 0.62 0.93 0.46 0.87 0.47 1.00 1.00 0.32 0.32 0.78 0.67 0.11 0.75 0.58 0.60 0.33 0.77 0.07 0.53 0.92 0.30]
  [0.33 0.55 1.00 0.26 0.02 0.79 0.63 0.92 0.03 0.05 0.32 1.00 0.23 0.13 0.73 0.60 0.12 0.03 0.08 0.95 0.98 0.36 0.02 0.26 0.45]
  [0.51 0.25 0.01 0.54 0.09 0.74 0.97 1.00 0.78 0.28 0.32 0.23 1.00 0.29 0.88 0.67 0.48 0.55 0.75 0.98 0.22 0.08 0.71 0.84 0.96]
  [0.57 0.70 0.15 0.13 0.02 0.61 0.48 0.10 0.89 0.38 0.78 0.13 0.29 1.00 0.41 0.02 0.18 0.46 0.92 0.54 0.46 0.03 0.99 0.48 0.04]
  [0.93 0.59 0.25 0.72 0.45 0.97 0.80 0.51 0.56 0.19 0.67 0.73 0.88 0.41 1.00 0.36 0.87 0.08 0.24 0.28 0.83 0.04 0.09 0.31 0.02]
  [0.77 0.31 0.41 0.65 0.73 0.37 0.98 0.05 0.32 0.12 0.11 0.60 0.67 0.02 0.36 1.00 0.88 0.25 0.99 0.02 0.06 0.13 0.61 0.59 0.70]
  [0.77 0.09 0.10 0.53 0.33 0.83 0.23 1.00 0.04 0.45 0.75 0.12 0.48 0.18 0.87 0.88 1.00 0.32 0.33 0.01 0.66 0.88 0.66 0.09 0.40]
  [0.93 0.20 0.65 0.29 0.17 0.39 0.39 0.33 0.16 0.78 0.58 0.03 0.55 0.46 0.08 0.25 0.32 1.00 0.45 0.95 0.63 0.07 1.00 0.43 0.81]
  [0.62 0.80 0.97 0.87 0.12 0.17 0.36 0.96 0.30 0.13 0.60 0.08 0.75 0.92 0.24 0.99 0.33 0.45 1.00 0.18 0.80 0.29 0.42 0.05 0.91]
  [0.41 0.21 0.04 0.58 0.43 0.03 0.01 0.18 0.05 0.64 0.33 0.95 0.98 0.54 0.28 0.02 0.01 0.95 0.18 1.00 0.67 0.22 0.48 0.90 0.10]
  [0.53 0.94 0.49 0.11 0.63 0.94 0.74 0.56 0.38 0.10 0.77 0.98 0.22 0.46 0.83 0.06 0.66 0.63 0.80 0.67 1.00 0.35 0.35 0.72 0.42]
  [0.71 0.16 0.67 0.19 0.60 0.92 0.56 0.57 0.71 0.68 0.07 0.36 0.08 0.03 0.04 0.13 0.88 0.07 0.29 0.22 0.35 1.00 0.68 0.68 0.35]
  [0.83 0.15 0.90 0.10 0.13 0.40 0.52 0.90 0.17 0.96 0.53 0.02 0.71 0.99 0.09 0.61 0.66 1.00 0.42 0.48 0.35 0.68 1.00 0.14 0.05]
  [0.79 0.01 0.51 0.69 0.88 0.44 0.88 0.57 0.79 0.07 0.92 0.26 0.84 0.48 0.31 0.59 0.09 0.43 0.05 0.90 0.72 0.68 0.14 1.00 0.38]
  [0.31 0.04 0.96 0.11 0.16 0.27 0.62 0.14 0.15 0.57 0.30 0.45 0.96 0.04 0.02 0.70 0.40 0.81 0.91 0.10 0.42 0.35 0.05 0.38 1.00]
];
