D=2;
n=[1 2];
N=10;
d=[2 1 2 1 1 1 1 1 1 2];
m = [
  [1.00 0.33 0.23 0.66 0.76 0.26 0.10 0.29 0.70 0.48]
  [0.33 1.00 0.30 0.51 0.21 0.70 0.03 0.00 0.17 0.84]
  [0.23 0.30 1.00 0.67 0.83 0.56 0.33 0.10 0.58 0.94]
  [0.66 0.51 0.67 1.00 0.68 0.61 1.00 0.01 0.85 0.27]
  [0.76 0.21 0.83 0.68 1.00 0.83 0.72 0.72 0.50 0.88]
  [0.26 0.70 0.56 0.61 0.83 1.00 0.36 0.64 0.46 0.40]
  [0.10 0.03 0.33 1.00 0.72 0.36 1.00 0.35 0.48 0.01]
  [0.29 0.00 0.10 0.01 0.72 0.64 0.35 1.00 0.72 0.92]
  [0.70 0.17 0.58 0.85 0.50 0.46 0.48 0.72 1.00 0.79]
  [0.48 0.84 0.94 0.27 0.88 0.40 0.01 0.92 0.79 1.00]
];
