D=3;
n=[13 3 7];
N=40;
d=[1 3 3 3 3 3 1 1 3 1 1 2 3 1 1 1 3 3 2 3 1 2 2 2 3 2 1 1 3 1 2 1 1 3 1 3 1 1 3 3];
m = [
  [1.00 0.41 0.83 0.88 0.50 0.50 0.64 0.48 0.13 0.71 0.77 0.92 0.99 0.72 0.14 0.36 0.00 0.58 0.14 0.96 0.53 0.91 0.19 0.09 0.40 0.82 0.03 0.00 0.39 0.35 0.60 0.53 0.35 0.15 0.14 0.21 0.11 0.70 0.80 0.65]
  [0.41 1.00 0.93 0.00 0.34 0.89 0.41 0.77 0.99 0.49 0.17 0.46 0.84 1.00 0.38 0.92 0.62 0.08 0.79 0.19 0.88 0.63 0.23 0.94 0.70 0.67 0.65 0.12 0.17 0.16 0.56 0.53 0.62 0.59 0.13 0.20 0.03 0.01 0.38 0.05]
  [0.83 0.93 1.00 0.94 0.29 0.39 0.06 0.28 0.40 0.53 0.08 0.64 0.05 0.52 0.70 0.50 0.62 0.81 0.70 0.53 0.21 0.38 0.94 0.10 0.74 0.86 0.25 0.54 0.50 0.12 0.05 0.49 0.51 0.86 0.40 0.83 0.33 0.94 0.60 0.80]
  [0.88 0.00 0.94 1.00 0.64 0.39 0.05 0.04 0.32 0.36 0.26 0.34 0.03 0.41 0.17 0.32 0.88 0.64 0.61 0.71 0.38 0.50 0.61 0.92 0.85 0.33 0.11 0.18 0.76 0.00 0.78 0.80 0.56 0.36 0.84 0.47 0.03 0.43 0.65 0.66]
  [0.50 0.34 0.29 0.64 1.00 0.47 0.80 0.27 0.57 0.47 0.92 0.96 0.40 0.23 0.78 0.07 0.98 0.05 0.18 0.43 0.35 0.90 0.23 0.76 0.96 0.61 0.15 0.97 0.88 0.18 0.15 0.91 0.95 0.29 0.88 0.17 0.87 0.48 0.15 0.71]
  [0.50 0.89 0.39 0.39 0.47 1.00 0.51 0.28 0.43 0.89 0.47 0.41 0.51 0.38 0.27 0.82 0.55 0.91 0.49 0.28 0.17 0.16 0.93 0.73 1.00 0.48 0.25 0.28 0.35 0.26 0.08 0.77 0.98 0.07 0.57 0.47 0.58 0.31 0.94 0.71]
  [0.64 0.41 0.06 0.05 0.80 0.51 1.00 0.68 0.80 0.94 0.83 0.06 0.58 0.38 0.42 0.39 0.44 0.20 0.94 0.37 0.17 0.22 0.13 0.89 0.05 0.63 0.87 0.34 0.66 0.05 0.67 0.52 0.19 0.77 0.30 0.60 0.77 0.19 0.24 0.00]
  [0.48 0.77 0.28 0.04 0.27 0.28 0.68 1.00 0.43 0.01 0.85 0.23 0.76 0.26 0.51 0.57 0.56 0.55 0.47 0.95 0.98 0.23 0.89 0.27 0.76 0.42 0.84 0.13 0.36 0.44 0.82 0.22 0.21 0.52 0.54 0.98 0.35 0.58 0.59 0.01]
