D = 11;
n = [1 3 3 3 3 1 2 3 2 2 3];
N = 50;
d = [5 7 4 10 5 3 2 7 7 2 4 11 4 3 2 1 7 5 4 8 11 1 6 9 9 8 5 5 4 10 3 3 3 2 5 4 8 6 8 6 8 2 9 11 10 11 3 2 2 5];
m = [
  [1.00 0.99 0.95 0.19 0.94 0.58 0.51 0.38 0.06 0.95 0.34 0.51 0.86 0.93 0.76 0.35 0.23 0.53 0.14 0.68 0.65 0.49 0.23 0.77 0.73 0.52 0.24 0.42 0.88 0.82 0.83 0.70 0.88 0.89 0.54 0.32 0.63 0.32 0.51 0.48 0.45 0.78 0.55 0.32 0.47 0.20 0.15 0.59 0.88 0.09]
  [0.99 1.00 0.42 0.53 0.72 0.10 0.97 0.36 0.98 0.43 0.12 0.03 0.30 0.32 0.54 0.90 0.89 0.92 0.95 0.29 0.74 0.45 0.71 0.25 0.63 0.83 0.19 0.86 0.03 0.58 0.94 0.87 0.35 0.55 0.66 0.82 0.13 0.66 0.34 0.44 0.13 0.17 0.67 0.10 0.90 0.29 0.70 0.31 0.10 0.45]
  [0.95 0.42 1.00 0.45 0.16 0.51 0.35 0.99 0.75 0.60 0.68 0.48 0.57 0.21 0.84 0.04 0.88 0.09 0.80 0.99 0.91 0.09 0.97 0.54 0.33 0.52 0.58 0.81 0.39 0.01 0.16 0.25 0.96 0.24 0.92 0.25 0.79 0.14 0.93 0.29 0.09 0.14 0.70 0.40 0.85 0.59 0.08 0.01 0.55 0.63]
  [0.19 0.53 0.45 1.00 0.48 0.77 0.59 0.79 0.24 0.72 0.97 0.31 0.94 0.20 0.15 0.71 0.12 0.42 0.73 0.11 0.70 0.57 0.45 0.51 0.20 0.25 0.08 0.70 0.90 0.36 1.00 0.24 0.13 0.79 0.22 0.14 0.66 0.63 0.29 0.16 0.25 0.80 0.04 0.60 0.92 0.97 0.15 0.88 0.59 0.72]
  [0.94 0.72 0.16 0.48 1.00 0.26 0.35 0.77 0.57 0.92 0.26 0.79 0.69 0.14 0.90 0.41 0.17 0.19 0.95 0.64 0.46 0.29 0.57 0.27 0.23 0.70 0.70 0.36 0.87 0.05 1.00 0.23 0.05 0.84 0.76 0.90 0.83 0.70 0.21 0.87 0.54 0.22 0.83 0.08 0.08 0.43 0.43 0.76 0.27 0.61]
  [0.58 0.10 0.51 0.77 0.26 1.00 0.13 0.10 0.88 0.13 0.39 0.03 0.42 0.60 0.67 0.46 0.10 0.36 0.13 0.56 0.88 0.83 0.89 0.20 0.89 0.07 0.92 0.38 0.79 0.48 0.02 0.60 0.81 0.86 0.24 0.93 0.90 0.37 0.31 0.92 0.95 0.18 0.62 0.52 0.84 0.87 0.33 0.24 0.23 0.09]
  [0.51 0.97 0.35 0.59 0.35 0.13 1.00 0.64 0.43 0.93 0.62 0.21 0.73 0.48 0.56 0.60 0.78 0.76 0.65 0.95 0.35 0.42 0.59 0.08 0.76 0.13 0.88 0.36 0.50 0.60 0.60 0.51 0.21 0.16 0.30 0.40 0.79 0.43 0.48 0.57 0.97 0.06 0.21 0.91 0.17 0.48 0.89 0.42 0.05 0.20]
  [0.38 0.36 0.99 0.79 0.77 0.10 0.64 1.00 0.50 0.56 0.58 0.13 0.04 0.78 0.13 0.76 0.80 0.34 0.96 0.54 0.80 0.46 0.43 0.84 0.17 0.88 0.44 0.34 0.31 0.61 0.43 0.01 0.81 0.77 0.08 0.23 0.44 0.84 0.41 0.93 0.67 0.48 0.99 0.74 0.89 0.52 0.61 0.58 0.96 0.88]
  [0.06 0.98 0.75 0.24 0.57 0.88 0.43 0.50 1.00 0.97 0.25 0.18 0.56 0.52 0.51 0.95 0.64 0.94 0.78 0.16 0.38 0.53 0.01 0.23 0.69 0.13 0.33 0.81 0.64 0.96 0.56 0.65 0.39 0.14 0.30 0.13 0.06 0.18 0.56 0.30 0.41 0.35 0.88 0.37 0.94 0.86 0.21 0.96 0.95 0.65]
  [0.95 0.43 0.60 0.72 0.92 0.13 0.93 0.56 0.97 1.00 0.32 0.42 0.58 0.10 0.95 0.35 0.04 0.49 0.23 0.69 0.58 0.48 0.85 0.31 0.99 0.81 0.07 0.26 0.40 0.79 0.60 0.97 0.03 0.50 0.09 0.23 0.51 0.92 0.60 1.00 0.10 0.88 0.75 0.16 0.92 0.62 0.40 0.09 0.27 0.73]
  [0.34 0.12 0.68 0.97 0.26 0.39 0.62 0.58 0.25 0.32 1.00 0.16 0.31 0.70 0.67 0.10 0.74 0.79 0.12 0.04 0.40 0.85 0.49 0.11 0.03 0.26 0.20 0.49 0.35 0.63 0.24 0.54 0.60 0.06 0.12 0.74 0.06 0.18 0.88 0.77 0.31 0.98 0.85 0.19 0.88 0.83 0.71 0.45 0.44 0.63]
  [0.51 0.03 0.48 0.31 0.79 0.03 0.21 0.13 0.18 0.42 0.16 1.00 0.58 0.55 0.01 0.91 0.56 0.37 0.70 0.29 0.29 0.96 0.34 0.10 0.61 0.76 0.20 0.69 0.96 0.31 0.56 0.76 0.03 0.97 0.88 0.75 0.34 0.50 0.30 0.55 0.48 0.91 0.50 0.55 0.97 0.24 0.58 0.35 0.75 0.29]
  [0.86 0.30 0.57 0.94 0.69 0.42 0.73 0.04 0.56 0.58 0.31 0.58 1.00 0.24 0.46 0.87 0.82 0.16 0.24 0.89 0.20 0.47 0.13 0.49 0.15 0.89 0.46 0.60 0.57 0.52 0.70 0.41 0.67 0.75 0.58 0.02 0.84 0.28 0.65 0.20 0.27 0.71 0.02 0.23 0.99 0.36 0.23 0.12 0.18 0.69]
  [0.93 0.32 0.21 0.20 0.14 0.60 0.48 0.78 0.52 0.10 0.70 0.55 0.24 1.00 0.11 0.20 0.59 0.49 0.83 0.84 0.84 0.48 0.57 0.10 0.29 0.68 0.51 0.32 0.17 0.48 0.91 0.78 0.96 0.99 0.78 0.95 0.84 0.78 1.00 0.39 0.66 0.05 0.31 0.47 0.68 0.99 0.95 0.68 0.57 0.31]
  [0.76 0.54 0.84 0.15 0.90 0.67 0.56 0.13 0.51 0.95 0.67 0.01 0.46 0.11 1.00 1.00 0.62 0.01 0.76 0.08 0.12 0.08 0.44 0.97 0.03 0.17 0.29 0.33 0.15 0.01 0.59 0.99 0.89 0.63 0.99 0.36 0.74 0.11 0.65 0.15 0.74 0.69 0.49 0.24 0.58 0.93 0.97 0.40 0.29 0.37]
  [0.35 0.90 0.04 0.71 0.41 0.46 0.60 0.76 0.95 0.35 0.10 0.91 0.87 0.20 1.00 1.00 0.35 0.38 0.99 0.64 0.74 0.42 0.57 0.97 0.74 0.56 0.78 0.41 0.93 0.66 0.15 0.51 0.74 0.06 0.14 0.62 0.32 0.43 0.02 0.44 0.84 0.14 0.63 0.79 0.21 0.01 0.36 0.77 0.51 0.64]
  [0.23 0.89 0.88 0.12 0.17 0.10 0.78 0.80 0.64 0.04 0.74 0.56 0.82 0.59 0.62 0.35 1.00 0.59 0.73 0.42 0.96 0.61 0.15 0.13 0.06 0.16 0.74 0.48 0.89 0.16 0.79 0.47 0.69 0.22 0.15 0.64 0.11 0.87 0.39 0.19 0.13 0.00 0.81 0.80 0.57 0.83 0.25 0.67 0.51 0.28]
  [0.53 0.92 0.09 0.42 0.19 0.36 0.76 0.34 0.94 0.49 0.79 0.37 0.16 0.49 0.01 0.38 0.59 1.00 0.41 0.52 0.57 0.34 0.76 0.32 0.18 0.18 0.86 0.39 0.49 0.48 0.78 0.96 0.73 0.31 0.82 0.45 0.86 0.02 0.82 0.97 0.35 0.66 0.56 0.45 0.20 0.67 0.32 0.93 0.75 0.03]
  [0.14 0.95 0.80 0.73 0.95 0.13 0.65 0.96 0.78 0.23 0.12 0.70 0.24 0.83 0.76 0.99 0.73 0.41 1.00 0.65 0.95 0.54 0.64 0.31 0.23 0.15 0.40 0.96 0.76 0.98 0.74 0.03 0.16 0.18 0.23 0.65 0.78 0.63 0.90 0.54 0.28 0.53 0.31 0.87 0.18 0.57 0.52 0.59 0.14 0.78]
  [0.68 0.29 0.99 0.11 0.64 0.56 0.95 0.54 0.16 0.69 0.04 0.29 0.89 0.84 0.08 0.64 0.42 0.52 0.65 1.00 0.52 0.98 0.88 0.33 0.46 0.03 0.78 0.07 0.63 0.47 0.61 0.74 0.71 0.06 0.41 0.38 0.65 0.51 0.36 0.60 0.45 0.49 0.04 0.82 0.57 0.75 0.11 0.32 0.38 0.54]
  [0.65 0.74 0.91 0.70 0.46 0.88 0.35 0.80 0.38 0.58 0.40 0.29 0.20 0.84 0.12 0.74 0.96 0.57 0.95 0.52 1.00 0.12 0.13 0.29 0.32 0.98 0.65 0.57 0.65 0.37 0.48 0.49 0.51 0.26 0.78 0.40 0.47 0.33 0.32 0.45 0.91 0.72 0.51 0.23 0.24 0.33 0.53 0.05 0.30 0.56]
  [0.49 0.45 0.09 0.57 0.29 0.83 0.42 0.46 0.53 0.48 0.85 0.96 0.47 0.48 0.08 0.42 0.61 0.34 0.54 0.98 0.12 1.00 0.97 0.81 0.42 0.69 0.86 0.36 0.62 0.93 0.17 0.53 0.15 0.95 0.21 0.42 0.96 0.56 0.87 0.85 0.76 0.71 0.51 0.27 0.58 0.60 0.39 0.82 0.23 0.12]
  [0.23 0.71 0.97 0.45 0.57 0.89 0.59 0.43 0.01 0.85 0.49 0.34 0.13 0.57 0.44 0.57 0.15 0.76 0.64 0.88 0.13 0.97 1.00 0.72 0.99 0.82 0.52 0.85 0.59 0.82 0.76 0.47 0.68 0.70 0.88 0.96 0.59 0.42 0.21 0.92 0.75 0.90 0.89 0.80 0.54 0.25 0.88 0.80 0.57 0.99]
  [0.77 0.25 0.54 0.51 0.27 0.20 0.08 0.84 0.23 0.31 0.11 0.10 0.49 0.10 0.97 0.97 0.13 0.32 0.31 0.33 0.29 0.81 0.72 1.00 0.62 0.22 0.41 0.64 0.68 0.17 0.61 0.36 0.67 0.75 0.81 0.34 0.19 0.56 0.58 0.40 0.60 0.29 0.36 0.73 0.22 0.85 0.95 0.06 0.78 0.93]
  [0.73 0.63 0.33 0.20 0.23 0.89 0.76 0.17 0.69 0.99 0.03 0.61 0.15 0.29 0.03 0.74 0.06 0.18 0.23 0.46 0.32 0.42 0.99 0.62 1.00 0.87 0.50 0.16 0.66 0.26 0.53 0.07 0.63 0.08 0.33 0.17 0.18 0.21 0.31 0.55 0.10 0.50 0.02 0.78 0.61 0.98 0.12 0.88 0.10 0.51]
  [0.52 0.83 0.52 0.25 0.70 0.07 0.13 0.88 0.13 0.81 0.26 0.76 0.89 0.68 0.17 0.56 0.16 0.18 0.15 0.03 0.98 0.69 0.82 0.22 0.87 1.00 0.48 0.37 0.72 0.96 0.72 0.42 0.47 0.54 0.85 0.43 0.98 0.86 0.22 0.77 0.29 0.15 0.49 0.89 0.52 0.43 0.16 0.54 0.15 0.23]
  [0.24 0.19 0.58 0.08 0.70 0.92 0.88 0.44 0.33 0.07 0.20 0.20 0.46 0.51 0.29 0.78 0.74 0.86 0.40 0.78 0.65 0.86 0.52 0.41 0.50 0.48 1.00 0.68 0.06 0.31 0.82 0.15 0.40 0.27 0.60 0.39 0.81 0.44 0.84 0.29 0.10 0.75 0.81 0.67 0.40 0.81 0.99 0.54 0.80 0.16]
  [0.42 0.86 0.81 0.70 0.36 0.38 0.36 0.34 0.81 0.26 0.49 0.69 0.60 0.32 0.33 0.41 0.48 0.39 0.96 0.07 0.57 0.36 0.85 0.64 0.16 0.37 0.68 1.00 0.28 1.00 0.66 0.23 0.22 0.75 0.39 0.53 0.37 0.38 0.65 0.67 0.52 0.73 0.28 0.30 0.62 0.05 0.03 0.54 0.99 0.74]
  [0.88 0.03 0.39 0.90 0.87 0.79 0.50 0.31 0.64 0.40 0.35 0.96 0.57 0.17 0.15 0.93 0.89 0.49 0.76 0.63 0.65 0.62 0.59 0.68 0.66 0.72 0.06 0.28 1.00 0.55 0.45 0.69 0.70 0.49 0.01 0.45 0.36 0.50 0.82 0.28 0.77 0.24 0.16 0.30 0.42 0.90 0.91 0.21 0.40 0.33]
  [0.82 0.58 0.01 0.36 0.05 0.48 0.60 0.61 0.96 0.79 0.63 0.31 0.52 0.48 0.01 0.66 0.16 0.48 0.98 0.47 0.37 0.93 0.82 0.17 0.26 0.96 0.31 1.00 0.55 1.00 0.72 0.63 0.68 0.65 0.40 0.52 0.17 0.09 0.43 0.09 0.70 0.16 0.51 0.05 0.23 0.15 0.91 0.79 0.95 0.79]
  [0.83 0.94 0.16 1.00 1.00 0.02 0.60 0.43 0.56 0.60 0.24 0.56 0.70 0.91 0.59 0.15 0.79 0.78 0.74 0.61 0.48 0.17 0.76 0.61 0.53 0.72 0.82 0.66 0.45 0.72 1.00 0.14 0.04 0.01 0.30 0.77 0.56 0.14 0.29 0.15 0.53 0.45 0.40 0.26 0.48 0.30 0.33 0.21 0.41 0.36]
  [0.70 0.87 0.25 0.24 0.23 0.60 0.51 0.01 0.65 0.97 0.54 0.76 0.41 0.78 0.99 0.51 0.47 0.96 0.03 0.74 0.49 0.53 0.47 0.36 0.07 0.42 0.15 0.23 0.69 0.63 0.14 1.00 0.64 0.29 0.01 0.97 0.13 0.46 0.68 0.57 0.60 0.96 0.36 0.98 0.87 0.13 0.47 0.92 0.65 0.86]
  [0.88 0.35 0.96 0.13 0.05 0.81 0.21 0.81 0.39 0.03 0.60 0.03 0.67 0.96 0.89 0.74 0.69 0.73 0.16 0.71 0.51 0.15 0.68 0.67 0.63 0.47 0.40 0.22 0.70 0.68 0.04 0.64 1.00 0.86 0.31 0.82 0.18 0.60 0.69 0.36 0.51 0.25 0.34 0.35 0.12 0.80 0.23 0.11 0.23 0.11]
  [0.89 0.55 0.24 0.79 0.84 0.86 0.16 0.77 0.14 0.50 0.06 0.97 0.75 0.99 0.63 0.06 0.22 0.31 0.18 0.06 0.26 0.95 0.70 0.75 0.08 0.54 0.27 0.75 0.49 0.65 0.01 0.29 0.86 1.00 0.26 0.21 0.61 0.56 0.94 0.54 0.61 0.41 0.34 0.06 0.26 0.55 0.89 0.80 0.55 0.94]
  [0.54 0.66 0.92 0.22 0.76 0.24 0.30 0.08 0.30 0.09 0.12 0.88 0.58 0.78 0.99 0.14 0.15 0.82 0.23 0.41 0.78 0.21 0.88 0.81 0.33 0.85 0.60 0.39 0.01 0.40 0.30 0.01 0.31 0.26 1.00 0.11 0.87 0.42 0.05 0.41 0.74 0.81 0.08 0.70 0.65 0.25 0.34 0.86 0.50 0.78]
  [0.32 0.82 0.25 0.14 0.90 0.93 0.40 0.23 0.13 0.23 0.74 0.75 0.02 0.95 0.36 0.62 0.64 0.45 0.65 0.38 0.40 0.42 0.96 0.34 0.17 0.43 0.39 0.53 0.45 0.52 0.77 0.97 0.82 0.21 0.11 1.00 0.43 0.40 0.25 0.25 0.97 0.80 0.18 0.61 0.50 0.20 0.90 0.02 0.87 0.15]
  [0.63 0.13 0.79 0.66 0.83 0.90 0.79 0.44 0.06 0.51 0.06 0.34 0.84 0.84 0.74 0.32 0.11 0.86 0.78 0.65 0.47 0.96 0.59 0.19 0.18 0.98 0.81 0.37 0.36 0.17 0.56 0.13 0.18 0.61 0.87 0.43 1.00 0.54 0.05 0.19 0.05 0.77 0.36 0.10 0.81 0.14 0.58 0.37 0.91 0.65]
  [0.32 0.66 0.14 0.63 0.70 0.37 0.43 0.84 0.18 0.92 0.18 0.50 0.28 0.78 0.11 0.43 0.87 0.02 0.63 0.51 0.33 0.56 0.42 0.56 0.21 0.86 0.44 0.38 0.50 0.09 0.14 0.46 0.60 0.56 0.42 0.40 0.54 1.00 0.29 0.97 0.56 0.67 0.76 0.44 0.86 0.64 0.35 0.62 0.10 0.80]
  [0.51 0.34 0.93 0.29 0.21 0.31 0.48 0.41 0.56 0.60 0.88 0.30 0.65 1.00 0.65 0.02 0.39 0.82 0.90 0.36 0.32 0.87 0.21 0.58 0.31 0.22 0.84 0.65 0.82 0.43 0.29 0.68 0.69 0.94 0.05 0.25 0.05 0.29 1.00 0.06 0.25 0.58 0.57 0.22 0.31 0.30 0.67 0.82 1.00 0.99]
  [0.48 0.44 0.29 0.16 0.87 0.92 0.57 0.93 0.30 1.00 0.77 0.55 0.20 0.39 0.15 0.44 0.19 0.97 0.54 0.60 0.45 0.85 0.92 0.40 0.55 0.77 0.29 0.67 0.28 0.09 0.15 0.57 0.36 0.54 0.41 0.25 0.19 0.97 0.06 1.00 0.47 0.56 0.34 0.95 0.91 0.15 0.60 0.79 0.70 0.48]
