D = 4;
n = [5 2 2 5];
N = 20;
d = [2 4 1 4 1 3 1 3 4 2 4 2 4 1 2 4 1 3 1 3];
m = [
  [1.00 0.26 0.14 0.23 0.60 0.61 0.64 0.45 0.20 0.76 0.98 0.96 0.57 0.97 0.70 0.34 0.37 0.45 0.07 0.50]
  [0.26 1.00 0.08 0.90 0.37 0.07 0.47 0.55 0.88 0.76 0.10 0.11 0.02 0.17 0.98 0.66 0.59 0.64 0.74 0.31]
  [0.14 0.08 1.00 0.27 0.81 0.77 0.45 0.62 0.11 0.27 0.70 0.64 0.55 0.30 0.86 0.67 0.18 0.02 0.58 0.17]
  [0.23 0.90 0.27 1.00 0.09 0.29 0.30 0.38 0.24 0.34 0.42 0.35 0.95 0.50 0.83 0.10 0.65 0.55 0.46 0.67]
  [0.60 0.37 0.81 0.09 1.00 0.07 0.12 0.39 0.53 0.23 0.29 0.78 0.43 0.53 0.74 0.62 0.65 0.66 0.01 0.36]
  [0.61 0.07 0.77 0.29 0.07 1.00 0.90 0.29 0.38 0.11 0.52 0.76 0.01 0.41 0.16 0.19 0.35 0.84 0.19 0.80]
  [0.64 0.47 0.45 0.30 0.12 0.90 1.00 0.70 0.33 0.99 0.81 0.30 0.75 0.81 0.11 0.63 0.41 0.54 0.12 0.86]
  [0.45 0.55 0.62 0.38 0.39 0.29 0.70 1.00 0.15 0.12 0.25 0.26 0.42 0.79 0.40 0.71 0.20 0.01 0.08 0.13]
  [0.20 0.88 0.11 0.24 0.53 0.38 0.33 0.15 1.00 0.18 0.00 0.21 0.20 0.03 0.30 0.28 0.95 0.10 0.92 0.20]
  [0.76 0.76 0.27 0.34 0.23 0.11 0.99 0.12 0.18 1.00 0.12 0.41 0.38 0.67 0.07 0.54 0.98 0.68 0.30 0.28]
  [0.98 0.10 0.70 0.42 0.29 0.52 0.81 0.25 0.00 0.12 1.00 0.26 0.58 0.02 0.64 0.38 0.26 0.43 0.98 0.93]
  [0.96 0.11 0.64 0.35 0.78 0.76 0.30 0.26 0.21 0.41 0.26 1.00 0.89 0.37 0.11 0.64 0.75 0.13 0.46 0.52]
  [0.57 0.02 0.55 0.95 0.43 0.01 0.75 0.42 0.20 0.38 0.58 0.89 1.00 0.68 0.51 0.57 0.27 0.65 0.69 0.68]
  [0.97 0.17 0.30 0.50 0.53 0.41 0.81 0.79 0.03 0.67 0.02 0.37 0.68 1.00 0.11 0.27 0.66 0.03 0.76 0.01]
  [0.70 0.98 0.86 0.83 0.74 0.16 0.11 0.40 0.30 0.07 0.64 0.11 0.51 0.11 1.00 0.86 0.42 0.89 0.46 0.12]
  [0.34 0.66 0.67 0.10 0.62 0.19 0.63 0.71 0.28 0.54 0.38 0.64 0.57 0.27 0.86 1.00 0.86 0.32 0.78 0.24]
  [0.37 0.59 0.18 0.65 0.65 0.35 0.41 0.20 0.95 0.98 0.26 0.75 0.27 0.66 0.42 0.86 1.00 0.58 0.69 0.41]
  [0.45 0.64 0.02 0.55 0.66 0.84 0.54 0.01 0.10 0.68 0.43 0.13 0.65 0.03 0.89 0.32 0.58 1.00 0.70 0.23]
  [0.07 0.74 0.58 0.46 0.01 0.19 0.12 0.08 0.92 0.30 0.98 0.46 0.69 0.76 0.46 0.78 0.69 0.70 1.00 0.68]
  [0.50 0.31 0.17 0.67 0.36 0.80 0.86 0.13 0.20 0.28 0.93 0.52 0.68 0.01 0.12 0.24 0.41 0.23 0.68 1.00]
];
