D = 5;
n = [1 3 2 2 1];
N = 20;
d = [5 2 3 4 4 5 4 5 1 1 2 4 3 1 4 5 4 2 3 2];
m = [
  [1.00 0.46 0.18 0.80 0.40 0.06 0.88 0.76 0.45 0.13 0.58 0.24 0.77 0.99 0.13 0.81 0.04 0.01 0.77 0.72]
  [0.46 1.00 0.85 0.81 0.07 0.39 0.21 0.64 0.91 0.72 0.53 0.01 0.40 0.81 0.39 0.72 0.50 0.65 0.24 0.13]
  [0.18 0.85 1.00 0.14 0.39 0.67 0.33 0.59 0.06 0.58 0.82 0.72 0.90 0.17 0.18 0.41 0.43 0.49 0.97 0.85]
  [0.80 0.81 0.14 1.00 0.51 0.32 0.15 0.18 0.49 0.42 0.99 0.03 0.63 0.03 0.60 0.12 0.84 0.31 0.86 0.22]
  [0.40 0.07 0.39 0.51 1.00 0.19 0.00 0.48 0.05 0.74 0.23 0.21 0.24 0.05 0.45 0.51 0.42 0.52 0.96 0.51]
  [0.06 0.39 0.67 0.32 0.19 1.00 0.94 0.67 0.83 0.53 0.49 0.71 0.51 0.51 0.67 0.76 0.54 0.10 0.71 0.16]
  [0.88 0.21 0.33 0.15 0.00 0.94 1.00 0.35 0.22 0.35 0.11 0.58 0.64 0.42 0.72 0.23 0.96 0.98 0.32 0.22]
  [0.76 0.64 0.59 0.18 0.48 0.67 0.35 1.00 0.58 0.68 0.88 0.28 0.27 0.92 0.84 0.57 0.93 0.66 0.75 0.09]
  [0.45 0.91 0.06 0.49 0.05 0.83 0.22 0.58 1.00 0.77 0.21 0.96 0.88 0.70 0.61 0.67 0.90 0.23 0.16 0.97]
  [0.13 0.72 0.58 0.42 0.74 0.53 0.35 0.68 0.77 1.00 0.62 0.80 0.36 0.61 0.15 0.46 0.86 0.13 0.80 0.26]
  [0.58 0.53 0.82 0.99 0.23 0.49 0.11 0.88 0.21 0.62 1.00 0.87 0.02 0.67 0.47 0.18 0.81 0.48 0.81 0.64]
  [0.24 0.01 0.72 0.03 0.21 0.71 0.58 0.28 0.96 0.80 0.87 1.00 0.61 0.21 0.78 0.56 0.59 0.29 0.52 0.62]
  [0.77 0.40 0.90 0.63 0.24 0.51 0.64 0.27 0.88 0.36 0.02 0.61 1.00 0.23 0.99 0.42 1.00 0.04 0.51 0.54]
  [0.99 0.81 0.17 0.03 0.05 0.51 0.42 0.92 0.70 0.61 0.67 0.21 0.23 1.00 0.45 0.16 0.90 0.01 0.18 0.49]
  [0.13 0.39 0.18 0.60 0.45 0.67 0.72 0.84 0.61 0.15 0.47 0.78 0.99 0.45 1.00 0.35 0.66 0.53 0.89 0.09]
  [0.81 0.72 0.41 0.12 0.51 0.76 0.23 0.57 0.67 0.46 0.18 0.56 0.42 0.16 0.35 1.00 0.31 0.50 0.37 0.62]
  [0.04 0.50 0.43 0.84 0.42 0.54 0.96 0.93 0.90 0.86 0.81 0.59 1.00 0.90 0.66 0.31 1.00 0.27 0.15 0.19]
  [0.01 0.65 0.49 0.31 0.52 0.10 0.98 0.66 0.23 0.13 0.48 0.29 0.04 0.01 0.53 0.50 0.27 1.00 0.59 0.67]
  [0.77 0.24 0.97 0.86 0.96 0.71 0.32 0.75 0.16 0.80 0.81 0.52 0.51 0.18 0.89 0.37 0.15 0.59 1.00 0.11]
  [0.72 0.13 0.85 0.22 0.51 0.16 0.22 0.09 0.97 0.26 0.64 0.62 0.54 0.49 0.09 0.62 0.19 0.67 0.11 1.00]
];
